FIPS,Registered_EVs_2022,Latitude,Longitude,Charging_Stations
51001,179,37.7649390453,-75.7565570848,9
51003,979,38.0228983556,-78.5566760673,25
51510,1444,38.8184535854,-77.0862060584,24
51005,9,37.7877775498,-80.0061751875,1
51007,12,37.3360260406,-77.9761379333,0
51009,44,37.6047919172,-79.1451431275,0
51011,3,37.3723568684,-78.8125507413,0
51013,2479,38.8785834577,-77.1009715341,58
51015,146,38.1644265021,-79.1338544675,0
51017,11,38.0586888264,-79.7410619159,0
51019,167,37.3151524068,-79.5241721318,6
51021,4,37.1339863881,-81.1302139229,0
51023,63,37.5571191153,-79.8123170828,6
51520,18,36.6180054611,-82.1607018861,0
51025,7,36.7647498967,-77.8590299644,0
51027,1,37.2666155974,-82.0360146573,0
51029,13,37.5722077541,-78.5287073251,0
51530,0,37.731927576,-79.3568295188,0
51031,68,37.205360404,-79.0965107022,4
51033,52,38.0267183008,-77.3470467441,3
51035,34,36.7315540772,-80.733902516,0
51036,8,37.3543505785,-77.0591277659,0
51037,5,37.0116206611,-78.6616435866,0
51540,387,38.0374914786,-78.4854998848,13
51550,834,36.6777445035,-76.3024182804,12
51041,1508,37.378523092,-77.5869258358,37
51043,97,39.1123184538,-77.9966807915,2
51570,34,37.2650404186,-77.3969067219,0
51580,3,37.7786161815,-79.9867558926,0
51045,3,37.4817063904,-80.2113954217,0
51047,128,38.4860376265,-77.955819263,7
51049,5,37.5121196812,-78.2449450925,0
51590,40,36.5831912624,-79.4088067684,6
51051,6,37.1257911242,-82.350353152,0
51053,23,37.0759383564,-77.6322882986,0
51595,2,36.6953299477,-77.5356107293,1
51057,6,37.9390693081,-76.9408852763,0
51600,602,38.8530983407,-77.2997880719,1
51059,13566,38.8345659231,-77.2762195686,95
51610,301,38.8847267106,-77.1751638221,0
51061,455,38.7386464353,-77.8092394301,10
51063,26,36.9316012682,-80.3625657303,2
51065,85,37.8418945509,-78.2771863744,0
51620,3,36.6830914867,-76.9385845546,0
51067,90,36.9919552301,-79.8810638666,1
51069,303,39.2045833383,-78.2625471123,10
51630,157,38.299192601,-77.4871504649,7
51640,6,36.6660406992,-80.9175879894,0
51071,10,37.3142565856,-80.702936854,2
51073,59,37.4012086268,-76.5229667418,0
51075,193,37.7216505795,-77.9158559223,22
51077,9,36.6565173634,-81.2248910808,0
51079,45,38.297620662,-78.4668692674,0
51081,4,36.6758560817,-77.5595928743,0
51083,24,36.7669858485,-78.9366028156,2
51650,248,37.0487694369,-76.2954030037,11
51085,453,37.7601394811,-77.4911573271,12
51660,76,38.4361880571,-78.873479236,27
51087,1890,37.5380074268,-77.405844847,87
51089,36,36.6827726796,-79.873952503,2
51091,5,38.3623255596,-79.5685441465,0
51670,18,37.2914862292,-77.2984913408,4
51093,114,36.906729139,-76.7091264828,4
51095,487,37.3133053,-76.7738000898,4
51097,2,37.7186360945,-76.8952824642,0
51099,104,38.2737274749,-77.1564526995,4
51101,11,37.7065960005,-77.0885455088,0
51103,50,37.7017152151,-76.4202298099,3
51105,9,36.7054264259,-83.1286182436,0
51678,16,37.7825305611,-79.4438937578,21
51107,7327,39.090675859,-77.6357053514,52
51109,139,37.9781820266,-77.9628583492,2
51111,9,36.9462101355,-78.240565851,0
51680,139,37.4002848554,-79.190856302,6
51113,26,38.4137041563,-78.2792244734,2
51683,179,38.7478811299,-77.4838087142,5
51685,62,38.7718774775,-77.4450310796,0
51690,14,36.6826585529,-79.8636317706,0
51115,13,37.4173108862,-76.271286532,0
51117,23,36.6803610038,-78.3626942045,6
51119,37,37.6227077717,-76.5059133431,0
51121,315,37.1742907521,-80.3872154427,18
51125,62,37.7873807102,-78.8868222264,0
51127,86,37.5052112298,-76.9973400492,2
51700,330,37.0760435997,-76.5164553837,21
51710,617,36.9233401324,-76.2456336955,27
51131,37,37.3007843394,-75.9285418475,0
51133,43,37.854663265,-76.3795212302,0
51720,0,36.931457433,-82.6262026867,0
51135,12,37.1430626393,-78.051263729,2
51137,71,38.2462130511,-78.0136665279,20
51139,23,38.619423178,-78.4843979826,6
51141,5,36.6783637366,-80.2842745676,1
51730,16,37.2042660125,-77.3913375552,2
51143,34,36.8212977305,-79.3971193907,0
51735,38,37.1502697208,-76.2705623776,0
51740,111,36.8590007836,-76.3567086184,3
51145,92,37.5501871513,-77.9151942586,0
51147,21,37.2243021506,-78.4410828106,0
51149,48,37.1865096844,-77.2241521943,2
51153,2986,38.701685538,-77.4776193547,34
51155,35,37.0635610525,-80.714385637,0
51750,18,37.1228911509,-80.5587490523,0
51157,40,38.6847722239,-78.1592301973,5
51760,799,37.5294416201,-77.475587955,42
51159,18,37.9370590546,-76.7296872797,0
51770,158,37.2784856293,-79.9580837461,11
51161,242,37.2692738291,-80.0679899739,9
51163,45,37.8144890524,-79.4472820902,4
51165,179,38.5120104943,-78.8757516437,0
51167,7,36.9338705281,-82.0953569204,0
51775,58,37.2864000021,-80.0554750445,3
51169,8,36.7142829107,-82.6029222713,0
51171,68,38.8583044048,-78.570851665,21
51173,13,36.843740372,-81.5369666383,1
51175,12,36.7204000351,-77.1061007631,0
51177,534,38.1849543372,-77.6560473238,16
51179,858,38.4207190191,-77.4574003866,6
51790,63,38.1593008022,-79.0611168206,27
51800,291,36.7018432696,-76.6340460041,0
51181,4,37.1169121603,-76.88830957,0
51183,11,36.9217518991,-77.261794619,3
51185,12,37.1249780238,-81.5605967061,0
51810,2509,36.7777632303,-76.0163281416,57
51187,92,38.9086479451,-78.2084593587,10
51191,80,36.7244585691,-81.9598229888,6
51820,38,38.0674165811,-78.9013542096,2
51193,36,38.1128050013,-76.7998633255,3
51830,71,37.2691767895,-76.707596151,0
51840,83,39.1735054386,-78.1746435555,4
51195,19,36.97522315,-82.6212020717,0
51197,21,36.9171118758,-81.0786676313,8
51199,276,37.2380515699,-76.4425351607,21
